Timestamp,Open,Close,High,Low,Volume
15656472000,11415,11460,12097,4000,2867908.021252262
15656616000,11428,11404,12097,4000,2867789.512112413
15656760000,11392,11404,12097,4000,2867800.496187002
15656904000,11319.887696,11384,12097,4000,2868145.338939342
15657048000,11141.809494,11296,12097,4000,2870123.731384802
15657192000,10908.33896856,10957,12097,4000,2867919.5005755923
15657336000,10899,10942,12097,4000,2867851.083806532
15657480000,10621,10904.01068603,12097,4000,2868464.8157819225
15657624000,10632,10666,12097,4000,2867935.8274635724
15657768000,10524,10620.02502921,12097,4000,2868095.1075415923
15657912000,10605.91163171,10565,12097,4000,2868169.2900634524
15658056000,10251,10517,12097,4000,2868320.1748175123
15658200000,10224.507232,10169,12097,4000,2868074.7178548924
15658344000,10091,10064.558229,12097,4000,2868384.8843345023
15658488000,9730.8,9870.3,12097,4000,2869468.1220608116
15658632000,10001,9890.9,12097,4000,2868694.200270722
15658776000,10039.34427274,10179.26218339,12097,4000,2868074.840021392
15658920000,10048,10118.479176,12097,4000,2867902.831547852
15659064000,10357,10125,12097,4000,2868165.313241512
15659208000,10372,10324.265494,12097,4000,2867855.137793252
15659352000,9900.3,10350.95314093,12097,4000,2868418.644497382
15659496000,10107,9951.9,12097,4000,2867899.0362040126
15659640000,10134.577672,10164,12097,4000,2868046.557137542
15659784000,10430,10409,12097,4000,2867944.2921293317
15659928000,10465,10477,12097,4000,2868502.105745422
15660072000,10408,10369,12097,4000,2867904.444805172
15660216000,10408,10324,12097,4000,2867809.844382092
15660360000,10475,10385.55009856,12097,4000,2867925.663295442
15660504000,10373,10350,12097,4000,2867830.144404682
15660648000,10087,10328,12097,4000,2868592.9147701426
15660792000,10142,10179.59126554,12097,4000,2867957.041545752
15660936000,10181.0617343,10228,12097,4000,2867817.4679173618
15661080000,10154,10121,12097,4000,2867804.1897143223
15661224000,10200,10154,12097,4000,2868484.046295212
15661368000,10459,10422.55609,12097,4000,2868083.345486852
15661512000,10395,10408,12097,4000,2867892.8063111524
15661656000,10433,10383,12097,4000,2868069.481116542
15661800000,10373.04910708,10332.192078,12097,4000,2867872.093819102
15661944000,10381.61928902,10426,12097,4000,2868004.665172842
